Disponibilité alimentaire en quantité (kg/personne/an),Disponibilité intérieure,Production,Population(milles),Food price inflation,Réserves (Unités de gros bétail (UGB)),Croissance annuelle du PIB (%),Valeur de PIB,Indice of Political Stability,Export-Quantité,Importations - Prix,Importations - Quantité,Pays
1.53,57.0,28.0,36296.113,6.957528833333334,135730.0,4.86579,18896.35202,-2.8,36.99,36579.0,40339.0,Afghanistan
35.69,2118.0,1667.0,57009.756,6.9026285,1786340.0,17.7038,380851.4441,-0.28,102355.0,465698.0,391376.0,Afrique du Sud
16.36,47.0,13.0,2884.169,3.9245775,78350.0,9.765944,13019.72986,0.38,9.0,22996.0,19630.0,Albanie
6.38,277.0,275.0,41389.189,5.040495833333334,1365950.0,6.287893,170096.9872,-0.92,95.0,13.0,11.0,Algérie
19.47,1739.0,1514.0,82658.409,2.7624968333333335,1600000.0,6.441277,3690849.153,0.59,1044037.0,1807131.0,1529838.0,Allemagne
10.56,319.0,42.0,29816.766,28.911962000000003,365000.0,20.766647,122123.8586,-0.38,88.0,335721.0,312472.0,Angola
43.36,1435.0,616.0,33101.179,-0.8215623333333334,1951190.0,6.768181,688586.0944,-0.64,106704.0,1434206.0,1490595.0,Arabie saoudite
42.24,1962.0,2161.0,43937.14,17.671433166666667,1183000.0,15.442348,643628.3962,0.17,328999.0,4539.0,4675.0,Argentine
16.06,47.0,11.0,2944.791,4.07512125,38140.0,9.305043,11527.45871,-0.62,62.25,41259.0,32975.0,Arménie
47.65,1171.0,1269.0,24584.62,0.8911256666666666,950120.0,8.013322,1412242.647,0.9,44295.0,16014.0,34010.0,Australie
18.2,173.0,148.0,8819.901,2.366326416666667,167360.0,5.483879,417261.1518,1.05,184915.0,322981.0,336631.0,Autriche
13.11,129.0,104.0,9845.32,17.3316055,304730.0,7.921474,40866.63205,-0.75,235.0,27166.0,18606.0,Azerbaïdjan
1.5,250.0,249.0,159685.424,7.1698717499999995,2751830.0,9.487237,288958.0176,-1.26,5.0,188.0,60.0,Bangladesh
12.65,152.0,463.0,11419.748,1.2666983333333333,269050.0,5.680656,502764.7206,0.43,758481.0,558666.0,374142.0,Belgique
36.0,429.0,533.0,11192.855,3.3708199166666666,2203040.0,10.511015,37508.68307,-0.28,1706.0,994.0,1500.0,Bolivie (État plurinational de)
16.7,55.0,61.0,3351.525,1.3302789166666666,162820.0,6.903897,18080.61087,-0.35,5268.0,10164.0,14983.0,Bosnie-Herzégovine
3.39,7.0,5.0,2205.08,3.4284648333333334,7100.0,6.779399,16105.15335,1.02,19.0,4085.0,2745.0,Botswana
22.06,157.0,107.0,7102.444,3.989343,177380.0,9.727448,59200.84512,0.33,140441.0,135441.0,117681.0,Bulgarie
2.27,46.0,46.0,19193.234,2.0388611666666665,368820.0,9.924132,14106.95735,-0.93,3.0,114.0,35.0,Burkina Faso
27.98,265.0,463.0,9450.231,7.096388166666666,460000.0,14.671728,54725.41881,-0.05,197113.0,21195.0,16993.0,Bélarus
14.4,161.0,18.0,11175.198,1.75528625,206430.0,7.449328,12701.65585,0.03,142.0,140857.0,151500.0,Bénin
2.34,38.0,28.0,16009.409,3.416926,131520.0,10.793179,22177.20063,0.09,21.0,2714.0,1386.0,Cambodge
3.16,82.0,81.0,24566.073,0.03740033333333331,511000.0,6.755152,36098.54706,-1.1,74.0,204.0,436.0,Cameroun
39.02,1433.0,1417.0,36732.095,-0.9752023333333333,1702030.0,7.935525,1649518.967,1.1,207949.0,426603.0,460798.0,Canada
36.36,672.0,712.0,18470.439,2.030305,1099730.0,10.619121,277034.6787,0.42,338642.0,208993.0,165915.0,Chili
53.51,280.0,24.0,7306.322,1.1279650833333335,13000.0,6.361267,341271.1,0.83,1030669.0,1346808.0,1457523.0,Chine - RAS de Hong-Kong
25.08,38.0,25.0,1179.678,-0.21943824999999997,24950.0,9.102202,22946.53593,0.54,345.0,30161.0,27251.0,Chypre
31.99,1643.0,1564.0,48909.839,0.7220204166666666,1638300.0,10.274451,311883.7304,-0.77,2021.0,66466.0,47434.0,Colombie
21.53,110.0,7.0,5110.695,-1.17933925,29690.0,8.566912,11094.82324,-0.53,16.0,123670.0,74805.0,Congo
26.52,134.0,133.0,4949.954,1.69864825,243830.0,2.83621,60516.04462,0.61,2131.0,26165.0,16193.0,Costa Rica
10.77,45.0,61.0,4182.857,2.9142507500000003,98400.0,7.493395,56323.84039,0.69,15727.0,54795.0,47961.0,Croatie
2.53,65.0,58.0,24437.47,0.7418498333333332,726970.0,7.555465,51588.15431,-1.09,234.0,742.0,1051.0,Côte d'Ivoire
28.98,167.0,173.0,5732.274,2.804291166666667,207330.0,6.06968,332121.0638,0.87,121788.0,170018.0,147916.0,Danemark
20.43,131.0,136.0,6388.126,0.18129599999999998,172750.0,3.25636,24979.19,-0.26,1569.0,18586.0,18142.0,El Salvador
30.39,1497.0,1515.0,46647.428,1.23159175,1375000.0,6.532538,1313245.33,0.28,325228.0,440833.0,292001.0,Espagne
21.26,29.0,20.0,1319.39,5.7197207500000005,21950.0,11.921513,26924.3851,0.65,11183.0,32267.0,32463.0,Estonie
6.46,7.0,6.0,1124.805,8.110502833333333,38250.0,15.3435,4401.526105,-0.27,243.0,1658.0,1631.0,Eswatini
18.76,111.0,129.0,5511.371,-0.9126086666666667,85200.0,6.250864,255647.9799,1.08,12923.0,35779.0,27420.0,Finlande
30.98,4556.0,4444.0,145530.082,2.7042755,5057680.0,23.293875,1574199.379,-0.64,70838.0,357799.0,485621.0,Fédération de Russie
29.33,78.0,4.0,2064.823,-0.7159374166666667,32110.0,6.459129,14929.64648,-0.1,181.0,87531.0,82474.0,Gabon
3.53,8.0,2.0,2213.889,8.716364083333334,13600.0,2.569455,1504.954335,-0.08,12.0,5816.0,4979.0,Gambie
7.24,211.0,60.0,29121.465,7.272453416666667,753630.0,7.545343,60403.02757,0.09,3535.0,169413.0,96820.0,Ghana
15.32,178.0,246.0,10569.45,0.32035549999999996,372620.0,3.537188,199844.4184,-0.07,19671.0,162840.0,139189.0,Grèce
20.58,357.0,235.0,16914.97,8.873343166666666,360380.0,8.478524,71653.75655,-0.65,4293.0,103956.0,94701.0,Guatemala
4.08,50.0,13.0,12067.519,13.592284999999999,318410.0,20.000796,10324.66826,-0.7,92.0,19974.0,21440.0,Guinée
2.16,4.0,3.0,1828.145,-0.22836824999999994,20200.0,14.518423,1350.177012,-0.5,0.0,5103.0,2848.0,Guinée-Bissau
38.34,32.0,31.0,775.222,7.868221443760263,281690.0,5.92226,4748.174334,-0.04,8.0,116.0,913.0,Guyana
15.27,61.0,22.0,4008.716,6.792273916666667,80460.0,7.271943,16242.68708,-0.37,4325.0,66145.0,56981.0,Géorgie
8.91,98.0,9.0,10982.366,11.094872833333334,58260.0,14.280015,15237.36099,-0.67,0.0,85228.0,80003.0,Haïti
21.73,205.0,193.0,9429.013,1.5840041666666667,466730.0,6.532207,23136.24805,-0.56,822.0,9748.0,12386.0,Honduras
25.27,266.0,493.0,9729.823,2.625489583333333,320270.0,11.276256,143112.196,0.81,551033.0,82325.0,64252.0,Hongrie
7.19,2323.0,2301.0,264650.963,2.142843416666667,34811810.0,8.986309,1015618.744,-0.5,0.0,873.0,4023.0,Indonésie
27.52,2220.0,2174.0,80673.883,12.545898416666667,9530000.0,8.073001,503710.0105,-0.93,56484.0,9630.0,5068.0,Iran (République islamique d')
14.95,566.0,96.0,37552.781,-2.057419916666667,500730.0,12.373863,187217.652,-2.31,244.28,257090.0,160813.0,Iraq
25.82,128.0,110.0,4753.279,-2.0702011666666666,155040.0,12.542957,336377.5002,1.0,71115.0,299264.0,355639.0,Irlande
67.39,636.0,629.0,8243.848,0.029129333333333302,462870.0,11.363641,355277.448,-0.89,329.0,363.0,369.0,Israël
18.88,1173.0,1315.0,60673.701,1.8801685833333333,1469480.0,4.584649,1961796.197,0.31,354084.0,164138.0,150209.0,Italie
51.1,152.0,128.0,2920.848,4.45721175,141650.0,5.199101,14808.98527,0.31,2193.0,21154.0,26023.0,Jamaïque
18.5,2415.0,2215.0,127502.725,0.6982633333333332,3138230.0,-1.455734,4930837.369,1.11,16972.0,1440717.0,1266888.0,Japon
28.07,275.0,210.0,9785.843,-0.3925328333333334,281150.0,3.799956,41408.4507,-0.45,39081.0,91068.0,120462.0,Jordanie
18.27,331.0,171.0,18080.019,8.627377083333334,383760.0,21.5092,166805.789,0.03,12381.0,157726.0,138624.0,Kazakhstan
0.67,35.0,35.0,50221.142,13.508745083333332,481250.0,9.69009,82064.79841,-1.13,214.0,163.0,3666.0,Kenya
3.1,32.0,7.0,6189.733,2.5072621666666666,44150.0,13.060774,7702.938395,-0.38,77.0,33143.0,32804.0,Kirghizistan
46.25,189.0,56.0,4056.099,-0.30313833333333334,530120.0,10.311545,120687.6353,-0.05,4511.0,296167.0,263022.0,Koweït
7.93,17.0,2.0,2091.534,5.726190750000001,4330.0,9.013723,2305.01501,-0.19,5.0,14995.0,46921.0,Lesotho
20.89,41.0,33.0,1951.097,5.5984765,21710.0,8.620392,30483.80602,0.46,21700.0,53820.0,33636.0,Lettonie
10.74,73.0,64.0,6819.373,3.6714715000000004,688760.0,3.676385,53027.68069,-1.63,724.0,20175.0,27517.0,Liban
10.67,50.0,15.0,4702.226,6.451449833333334,78400.0,0.217628,2763.0,-0.33,4.0,33358.0,26061.0,Libéria
28.19,82.0,118.0,2845.414,3.566523833333333,99170.0,11.020131,47758.73693,0.78,93924.0,60833.0,54255.0,Lituanie
18.33,11.0,0.0,591.91,2.8174421666666665,1230.0,5.689666,65712.18034,1.33,2348.0,42633.0,40303.0,Luxembourg
19.73,41.0,2.0,2081.996,0.25751274999999996,18400.0,5.946111,11307.06119,-0.25,318.0,53186.0,47694.0,Macédoine du Nord
39.21,1621.0,1724.0,31104.646,4.174879583333333,2933020.0,5.926432,319109.1032,0.12,16422.0,134712.0,125702.0,Malaisie
5.17,98.0,130.0,17670.196,12.186876833333335,185260.0,25.54437,8943.543794,-0.25,906.0,755.0,686.0,Malawi
2.83,52.0,48.0,18512.43,2.196181333333333,450000.0,9.551263,15365.71306,-1.91,0.5,1020.0,784.0,Mali
20.96,746.0,762.0,35581.255,0.018992916666666693,2049290.0,6.244908,118540.5747,-0.37,1129.0,468.0,2013.0,Maroc
37.93,49.0,48.0,1264.499,3.8210979999999997,159010.0,8.887858,13713.506,0.97,41.0,2018.0,1356.0,Maurice
5.14,22.0,5.0,4282.57,3.0990695833333333,46460.0,6.272922,6800.135962,-0.63,0.0,21298.0,16360.0,Mauritanie
32.52,4219.0,3249.0,124777.324,6.966623833333333,5561280.0,7.456604,1158912.015,-0.8,3866.0,1216547.0,1054766.0,Mexique
2.77,9.0,0.0,3113.786,4.512549916666667,6950.0,2.67854,11480.84757,0.79,0.0,16765.0,12096.0,Mongolie
15.98,10.0,4.0,627.563,1.7427485,7880.0,11.035055,4856.612346,-0.06,5.0,15432.0,13402.0,Monténégro
3.59,116.0,92.0,28649.018,16.947021,190000.0,10.740447,13219.0795,-0.93,1150.75,30463.0,36367.0,Mozambique
30.37,1666.0,1662.0,53382.523,4.483110333333333,3491710.0,1.849354,68209.18234,-1.08,0.0,239.0,85.0,Myanmar
11.53,28.0,11.0,2402.633,5.68697325,44700.0,20.196593,12887.50127,0.63,6253.0,32607.0,23474.0,Namibie
21.59,138.0,143.0,6384.846,0.59872625,237140.0,3.761826,13785.89285,-0.05,206.5,6326.0,7149.0,Nicaragua
0.94,21.0,19.0,21602.382,3.38728225,189590.0,7.560848,11185.10596,-1.27,0.0,1713.0,8739.0,Niger
1.01,202.0,201.0,190873.244,19.411584166666668,1800730.0,-7.143094,375744.658,-2.0,12.8,32008.0,717.0,Nigéria
19.05,102.0,101.0,5296.326,0.02947608333333331,156430.0,8.018554,398393.9553,1.17,847.0,2466.0,2523.0,Norvège
34.79,168.0,223.0,4702.034,2.24092,237630.0,9.418329,206623.7588,1.6,35125.0,868.0,17.0,Nouvelle-Zélande
1.99,58.0,58.0,27632.681,0.3577011666666667,700070.0,16.905909,28065.74816,-0.61,0.0,690.0,575.0,Népal
21.63,114.0,7.0,4665.928,0.5514275833333334,47380.0,7.623862,80856.5755,0.75,45970.0,215152.0,183751.0,Oman
1.52,66.0,65.0,41166.588,10.205832166666667,336660.0,3.654886,31593.34937,-0.57,352.0,213.0,329.0,Ouganda
5.86,1282.0,1281.0,207906.209,3.293669833333334,11080000.0,7.934225,337136.8295,-2.41,3096.0,177.0,81.0,Pakistan
33.82,192.0,198.0,4106.769,-0.5346804166666667,254530.0,7.417028,62202.7252,0.39,72.0,24773.0,23715.0,Panama
5.99,41.0,45.0,6867.061,5.787211916666667,223160.0,8.056121,38997.12981,0.0,1488.0,53.0,91.0,Paraguay
13.87,1521.0,1272.0,105172.925,3.0503054166666668,1753170.0,3.092561,328480.7381,-1.19,18555.0,237451.0,178365.0,Philippines
30.3,1156.0,2351.0,37953.18,4.314900333333333,1776400.0,11.619956,524641.2066,0.52,1408420.0,88627.0,51262.0,Pologne
30.58,325.0,361.0,10288.527,1.53896825,107550.0,7.306288,221357.8747,1.12,35463.0,174047.0,149819.0,Portugal
13.47,1523.0,1465.0,31444.298,3.0161085,1566380.0,9.958317,211007.9523,-0.26,4586.0,69672.0,45166.0,Pérou
19.37,381.0,392.0,19653.969,2.4840845833333334,756900.0,13.416744,210147.1811,0.06,144903.0,190635.0,156307.0,Roumanie
31.94,2234.0,1814.0,66727.461,2.261151416666667,1710000.0,-0.602323,2683399.007,0.39,308059.0,1530062.0,1327590.0,Royaume-Uni de Grande-Bretagne et d'Irlande du Nord
1.49,19.0,19.0,11980.961,13.23848175,52730.0,6.46437,9252.814353,0.09,0.0,51.0,74.0,Rwanda
2.29,11.0,7.0,4596.023,7.868221443760263,68290.0,13.55225,2072.349974,-2.01,0.0,3464.0,2146.0,République centrafricaine
16.7,854.0,838.0,51096.415,3.421325916666667,1705510.0,8.252047,1623901.466,0.39,29990.0,212484.0,209196.0,République de Corée
16.14,66.0,54.0,4059.684,7.8799296666666665,379920.0,19.801505,9669.741743,-0.32,0.0,15330.0,16963.0,République de Moldova
35.26,375.0,339.0,10513.104,2.3334215833333336,1840000.0,5.702298,79998.04598,0.16,7032.0,28752.0,28811.0,République dominicaine
1.62,43.0,43.0,25429.825,0.9937888198757764,153930.0,3.446525,17364.72493,-0.5,0.1,71.0,47.0,République populaire démocratique de Corée
1.88,108.0,105.0,54660.339,9.129263166666666,377870.0,7.231981,54726.7788,-0.56,12.333333333333334,1741.0,1781.0,République-Unie de Tanzanie
10.16,90.0,85.0,8829.628,3.2885500833333334,163380.0,8.567672,44179.07531,0.09,9912.0,8178.0,10857.0,Serbie
3.97,30.0,17.0,7488.423,19.505054083333334,215230.0,-3.201634,3739.051196,-0.04,27.0,11912.0,13722.0,Sierra Leone
13.9,74.0,71.0,5447.9,3.979128333333333,118060.0,6.405857,95649.96626,0.91,69874.0,138980.0,93983.0,Slovaquie
24.41,52.0,72.0,2076.394,2.2278396666666667,36390.0,8.612164,48589.10004,0.87,45794.0,49988.0,48571.0,Slovénie
1.6,69.0,67.0,40813.397,34.92217375,485840.0,36.133401,122072.7299,-1.98,0.0,1207.0,3433.0,Soudan
7.78,192.0,192.0,21128.032,11.346956416666666,212760.0,6.100726,87428.11756,-0.07,661.0,542.0,1135.0,Sri Lanka
15.72,133.0,91.0,8455.804,0.4186701666666666,114090.0,1.276287,704478.517,1.26,5919.0,186362.0,207704.0,Suisse
31.06,25.0,10.0,570.496,33.00771433333333,60230.0,8.032232,3392.950425,0.13,2094.0,18843.0,18689.0,Suriname
16.6,187.0,157.0,9904.896,2.143090583333333,90750.0,4.918811,541018.7498,0.98,24913.0,209866.0,172640.0,Suède
4.76,77.0,77.0,15419.355,1.6959568333333335,673890.0,10.274254,20996.56985,-0.05,1.0,75.0,24.0,Sénégal
4.45,40.0,2.0,8880.268,9.241388166666667,52170.0,7.779672,7536.403147,-0.67,1862.0,7865.0,22605.0,Tadjikistan
0.45,7.0,6.0,15016.753,-3.8327439166666664,61540.0,2.122355,13349.04142,-1.29,0.0,1054.0,1921.0,Tchad
21.96,249.0,163.0,10641.034,5.18512975,205870.0,11.390756,218628.941,1.0,79199.0,277603.0,257704.0,Tchéquie
