Code Domaine,Domaine,Code zone (M49),Zone,Food Value Code,Food Value,Industry Code,Industry,Factor Code,Factor,Code Élément,Élément,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"GFDI","Parts en valeur par secteur et par facteur primaire","036","Australie","22120","Food At Home (FAH)","22116","Manufacture of food, beverages and tobacco products","22126","Primary Factors Total","6222","Industry share","2012","2012","%","18.739249","E","Valeur estimée"
"GFDI","Parts en valeur par secteur et par facteur primaire","036","Australie","22120","Food At Home (FAH)","22116","Manufacture of food, beverages and tobacco products","22126","Primary Factors Total","6222","Industry share","2013","2013","%","18.641668","E","Valeur estimée"
"GFDI","Parts en valeur par secteur et par facteur primaire","036","Australie","22120","Food At Home (FAH)","22116","Manufacture of food, beverages and tobacco products","22126","Primary Factors Total","6222","Industry share","2014","2014","%","18.036216","E","Valeur estimée"
"GFDI","Parts en valeur par secteur et par facteur primaire","036","Australie","22120","Food At Home (FAH)","22116","Manufacture of food, beverages and tobacco products","22126","Primary Factors Total","6222","Industry share","2015","2015","%","18.322677","E","Valeur estimée"
"GFDI","Parts en valeur par secteur et par facteur primaire","036","Australie","22120","Food At Home (FAH)","22116","Manufacture of food, beverages and tobacco products","22126","Primary Factors Total","6110","Valeur US $","2012","2012","Millions d’USD","22665.43","E","Valeur estimée"
"GFDI","Parts en valeur par secteur et par facteur primaire","036","Australie","22120","Food At Home (FAH)","22116","Manufacture of food, beverages and tobacco products","22126","Primary Factors Total","6110","Valeur US $","2013","2013","Millions d’USD","21931.014","E","Valeur estimée"
"GFDI","Parts en valeur par secteur et par facteur primaire","036","Australie","22120","Food At Home (FAH)","22116","Manufacture of food, beverages and tobacco products","22126","Primary Factors Total","6110","Valeur US $","2014","2014","Millions d’USD","18629.059","E","Valeur estimée"
"GFDI","Parts en valeur par secteur et par facteur primaire","036","Australie","22120","Food At Home (FAH)","22116","Manufacture of food, beverages and tobacco products","22126","Primary Factors Total","6110","Valeur US $","2015","2015","Millions d’USD","15399.748","E","Valeur estimée"
"GFDI","Parts en valeur par secteur et par facteur primaire","036","Australie","22120","Food At Home (FAH)","22116","Manufacture of food, beverages and tobacco products","22123","Labour","6223","Factor share","2012","2012","%","43.720362","E","Valeur estimée"
"GFDI","Parts en valeur par secteur et par facteur primaire","036","Australie","22120","Food At Home (FAH)","22116","Manufacture of food, beverages and tobacco products","22123","Labour","6223","Factor share","2013","2013","%","42.777224","E","Valeur estimée"
"GFDI","Parts en valeur par secteur et par facteur primaire","036","Australie","22120","Food At Home (FAH)","22116","Manufacture of food, beverages and tobacco products","22123","Labour","6223","Factor share","2014","2014","%","44.533312","E","Valeur estimée"
