Code Domaine,Domaine,Code zone (M49),Zone,Code de devise ISO (FAO),Devise,Code Élément,Élément,Code année,Année,Code Mois,Mois,Unité,Valeur,Symbole,Description du Symbole
"PE","Taux de change","528","Pays-Bas (Royaume des)","EUR","Euro","LCU","Unités de monnaie locale par USD","2017","2017","7021","Valeur annuel","","0.8852055083","X","Ciffre de sources internationales"
"PE","Taux de change","528","Pays-Bas (Royaume des)","EUR","Euro","SLC","Unités de monnaie locale standardisée par USD","2017","2017","7021","Valeur annuel","","0.885205508","X","Ciffre de sources internationales"
"PE","Taux de change","004","Afghanistan","AFN","Afghani","LCU","Unités de monnaie locale par USD","2017","2017","7021","Valeur annuel","","68.0269040822312","X","Ciffre de sources internationales"
"PE","Taux de change","004","Afghanistan","AFN","Afghani","SLC","Unités de monnaie locale standardisée par USD","2017","2017","7021","Valeur annuel","","68.02690408","X","Ciffre de sources internationales"
"PE","Taux de change","710","Afrique du Sud","ZAR","Rand","LCU","Unités de monnaie locale par USD","2017","2017","7021","Valeur annuel","","13.3238014244992","X","Ciffre de sources internationales"
"PE","Taux de change","710","Afrique du Sud","ZAR","Rand","SLC","Unités de monnaie locale standardisée par USD","2017","2017","7021","Valeur annuel","","13.33378146","X","Ciffre de sources internationales"
"PE","Taux de change","008","Albanie","ALL","Lek","LCU","Unités de monnaie locale par USD","2017","2017","7021","Valeur annuel","","119.1","X","Ciffre de sources internationales"
"PE","Taux de change","008","Albanie","ALL","Lek","SLC","Unités de monnaie locale standardisée par USD","2017","2017","7021","Valeur annuel","","119.0996667","X","Ciffre de sources internationales"
"PE","Taux de change","012","Algérie","DZD","Algerian Dinar","LCU","Unités de monnaie locale par USD","2017","2017","7021","Valeur annuel","","110.973016666667","X","Ciffre de sources internationales"
"PE","Taux de change","012","Algérie","DZD","Algerian Dinar","SLC","Unités de monnaie locale standardisée par USD","2017","2017","7021","Valeur annuel","","110.9730167","X","Ciffre de sources internationales"
