Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"EK","Tendances dans l’élevage","004","Afghanistan","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2017","2017","UGB/ha","0","E","Valeur estimée"
"EK","Tendances dans l’élevage","004","Afghanistan","7211","Part du total des animaux","02151","Poulets","2017","2017","% du total des UGB","2.04","E","Valeur estimée"
"EK","Tendances dans l’élevage","004","Afghanistan","5118","Réserves","02151","Poulets","2017","2017","Unités de gros bétail (UGB)","135730","E","Valeur estimée"
"EK","Tendances dans l’élevage","710","Afrique du Sud","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2017","2017","UGB/ha","0.02","E","Valeur estimée"
"EK","Tendances dans l’élevage","710","Afrique du Sud","7211","Part du total des animaux","02151","Poulets","2017","2017","% du total des UGB","12.53","E","Valeur estimée"
"EK","Tendances dans l’élevage","710","Afrique du Sud","5118","Réserves","02151","Poulets","2017","2017","Unités de gros bétail (UGB)","1786340","E","Valeur estimée"
"EK","Tendances dans l’élevage","008","Albanie","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2017","2017","UGB/ha","0.07","E","Valeur estimée"
"EK","Tendances dans l’élevage","008","Albanie","7211","Part du total des animaux","02151","Poulets","2017","2017","% du total des UGB","10.54","E","Valeur estimée"
"EK","Tendances dans l’élevage","008","Albanie","5118","Réserves","02151","Poulets","2017","2017","Unités de gros bétail (UGB)","78350","E","Valeur estimée"
"EK","Tendances dans l’élevage","012","Algérie","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2017","2017","UGB/ha","0.03","E","Valeur estimée"
"EK","Tendances dans l’élevage","012","Algérie","7211","Part du total des animaux","02151","Poulets","2017","2017","% du total des UGB","21.35","E","Valeur estimée"
"EK","Tendances dans l’élevage","012","Algérie","5118","Réserves","02151","Poulets","2017","2017","Unités de gros bétail (UGB)","1365950","E","Valeur estimée"
"EK","Tendances dans l’élevage","276","Allemagne","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2017","2017","UGB/ha","0.1","E","Valeur estimée"
"EK","Tendances dans l’élevage","276","Allemagne","7211","Part du total des animaux","02151","Poulets","2017","2017","% du total des UGB","7.99","E","Valeur estimée"
"EK","Tendances dans l’élevage","276","Allemagne","5118","Réserves","02151","Poulets","2017","2017","Unités de gros bétail (UGB)","1600000","E","Valeur estimée"
"EK","Tendances dans l’élevage","024","Angola","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2017","2017","UGB/ha","0.01","E","Valeur estimée"
"EK","Tendances dans l’élevage","024","Angola","7211","Part du total des animaux","02151","Poulets","2017","2017","% du total des UGB","8.96","E","Valeur estimée"
"EK","Tendances dans l’élevage","024","Angola","5118","Réserves","02151","Poulets","2017","2017","Unités de gros bétail (UGB)","365000","E","Valeur estimée"
"EK","Tendances dans l’élevage","028","Antigua-et-Barbuda","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2017","2017","UGB/ha","0.18","E","Valeur estimée"
