Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"TI","Indices commerciaux","528","Pays-Bas (Royaume des)","64","Valeur des importations - Quantité période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","708821","E","Valeur estimée"
"TI","Indices commerciaux","528","Pays-Bas (Royaume des)","65","Valeur des importations - Prix période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","758750","E","Valeur estimée"
"TI","Indices commerciaux","528","Pays-Bas (Royaume des)","94","Valeur des exportations - Quantité période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","1987334","E","Valeur estimée"
"TI","Indices commerciaux","528","Pays-Bas (Royaume des)","95","Valeur des exportations - Prix période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","2638712","E","Valeur estimée"
"TI","Indices commerciaux","004","Afghanistan","64","Valeur des importations - Quantité période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","40339","E","Valeur estimée"
"TI","Indices commerciaux","004","Afghanistan","65","Valeur des importations - Prix période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","36579","E","Valeur estimée"
"TI","Indices commerciaux","710","Afrique du Sud","64","Valeur des importations - Quantité période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","391376","E","Valeur estimée"
"TI","Indices commerciaux","710","Afrique du Sud","65","Valeur des importations - Prix période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","465698","E","Valeur estimée"
"TI","Indices commerciaux","710","Afrique du Sud","94","Valeur des exportations - Quantité période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","102355","E","Valeur estimée"
"TI","Indices commerciaux","710","Afrique du Sud","95","Valeur des exportations - Prix période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","79166","E","Valeur estimée"
"TI","Indices commerciaux","008","Albanie","64","Valeur des importations - Quantité période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","19630","E","Valeur estimée"
"TI","Indices commerciaux","008","Albanie","65","Valeur des importations - Prix période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","22996","E","Valeur estimée"
"TI","Indices commerciaux","012","Algérie","64","Valeur des importations - Quantité période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","11","E","Valeur estimée"
"TI","Indices commerciaux","012","Algérie","65","Valeur des importations - Prix période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","13","E","Valeur estimée"
"TI","Indices commerciaux","012","Algérie","94","Valeur des exportations - Quantité période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","95","E","Valeur estimée"
"TI","Indices commerciaux","012","Algérie","95","Valeur des exportations - Prix période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","23","E","Valeur estimée"
"TI","Indices commerciaux","276","Allemagne","64","Valeur des importations - Quantité période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","1529838","E","Valeur estimée"
"TI","Indices commerciaux","276","Allemagne","65","Valeur des importations - Prix période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","1807131","E","Valeur estimée"
"TI","Indices commerciaux","276","Allemagne","94","Valeur des exportations - Quantité période de référence","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 $","1044037","E","Valeur estimée"
